jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|value:n,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|inferenceType,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=value,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=value, 
1042,  3136,  completed,  eof,  2017-09-22 07:51:55,  2017-09-22 07:52:11,  16,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_224.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0153826742222.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.00267764405.modelParams|sensorParams|encoders|_classifierInput|n_112.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0828472069983,  2500,  10,  None,  224,  13,  None,  2,  0.0153826742222,  2.00267764405,  112,  TemporalMultiStep,  0.0828472069983,  106.408336806,  32.858914384, 
1042,  3137,  completed,  eof,  2017-09-22 07:52:05,  2017-09-22 07:52:11,  6,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_234.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0285124198951.modelParams|sensorParams|encoders|_classifierInput|n_246.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0714341996848,  2500,  10,  1,  234,  12,  None,  2,  0.0285124198951,  None,  246,  NontemporalMultiStep,  0.0714341996848,  78.3101648521,  24.1821936091, 
1042,  3138,  completed,  eof,  2017-09-22 07:52:11,  2017-09-22 07:52:17,  6,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_226.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0341719773334.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.49196706784.modelParams|sensorParams|encoders|_classifierInput|n_220.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0716983790052,  2500,  10,  None,  226,  13,  None,  3,  0.0341719773334,  2.49196706784,  220,  NontemporalMultiStep,  0.0716983790052,  80.359111036,  24.8149085754, 
1042,  3139,  completed,  eof,  2017-09-22 07:52:11,  2017-09-22 07:52:18,  7,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_234.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0285124198951.modelParams|sensorParams|encoders|_classifierInput|n_246.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0814041996848,  2500,  10,  1,  234,  12,  None,  2,  0.0285124198951,  None,  246,  NontemporalMultiStep,  0.0814041996848,  78.2342281965,  24.1587443556, 
1042,  3140,  completed,  eof,  2017-09-22 07:52:17,  2017-09-22 07:52:24,  7,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_210.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.0415579850521.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.73445245703.modelParams|sensorParams|encoders|_classifierInput|n_281.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0587293444364,  2500,  10,  None,  210,  13,  None,  4,  0.0415579850521,  2.73445245703,  281,  NontemporalMultiStep,  0.0587293444364,  80.618750451,  24.8950852755, 
1042,  3141,  completed,  eof,  2017-09-22 07:52:18,  2017-09-22 07:52:24,  6,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_241.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.03007.modelParams|sensorParams|encoders|_classifierInput|n_176.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.08006,  2500,  10,  1,  241,  13,  None,  2,  0.03007,  None,  176,  NontemporalMultiStep,  0.08006,  77.7049736634,  23.9953104564, 
1042,  3142,  completed,  eof,  2017-09-22 07:52:24,  2017-09-22 07:52:30,  6,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_212.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0374560077187.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.74248538919.modelParams|sensorParams|encoders|_classifierInput|n_237.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0770609654312,  2500,  10,  None,  212,  13,  None,  3,  0.0374560077187,  2.74248538919,  237,  NontemporalMultiStep,  0.0770609654312,  80.2555126958,  24.7829173885, 
1042,  3143,  completed,  eof,  2017-09-22 07:52:24,  2017-09-22 07:52:30,  6,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_227.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0374560077187.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.74248538919.modelParams|sensorParams|encoders|_classifierInput|n_237.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0770609654312,  2500,  10,  None,  227,  13,  None,  3,  0.0374560077187,  2.74248538919,  237,  NontemporalMultiStep,  0.0770609654312,  80.5150836726,  24.8630729548, 
1042,  3144,  completed,  eof,  2017-09-22 07:52:30,  2017-09-22 07:52:36,  6,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_215.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0368309930895.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.7147990154.modelParams|sensorParams|encoders|_classifierInput|n_228.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0769627589372,  2500,  10,  None,  215,  13,  None,  3,  0.0368309930895,  2.7147990154,  228,  NontemporalMultiStep,  0.0769627589372,  81.1259135238,  25.0516973276, 
1042,  3145,  completed,  eof,  2017-09-22 07:52:30,  2017-09-22 07:52:36,  6,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_221.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0371250991597.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.99473955365.modelParams|sensorParams|encoders|_classifierInput|n_242.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.073419806418,  2500,  10,  None,  221,  14,  None,  3,  0.0371250991597,  2.99473955365,  242,  NontemporalMultiStep,  0.073419806418,  80.4729099967,  24.8500497158, 
1042,  3146,  completed,  eof,  2017-09-22 07:52:36,  2017-09-22 07:52:42,  6,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_220.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0203813379646.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.86601379526.modelParams|sensorParams|encoders|_classifierInput|n_160.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0943108956523,  2500,  10,  None,  220,  12,  None,  2,  0.0203813379646,  1.86601379526,  160,  NontemporalMultiStep,  0.0943108956523,  82.615312776,  25.5116240963, 
1042,  3147,  completed,  eof,  2017-09-22 07:52:36,  2017-09-22 07:52:42,  6,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_215.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0236170084409.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.92611571091.modelParams|sensorParams|encoders|_classifierInput|n_182.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0896183909154,  2500,  10,  None,  215,  12,  None,  2,  0.0236170084409,  1.92611571091,  182,  NontemporalMultiStep,  0.0896183909154,  82.2824891518,  25.4088480987, 
1042,  3148,  completed,  eof,  2017-09-22 07:52:42,  2017-09-22 07:52:49,  7,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_215.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0405512596484.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.86560673649.modelParams|sensorParams|encoders|_classifierInput|n_258.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.077557456789,  2500,  10,  None,  215,  13,  None,  3,  0.0405512596484,  2.86560673649,  258,  NontemporalMultiStep,  0.077557456789,  82.0073917501,  25.3238979694, 
1042,  3149,  completed,  eof,  2017-09-22 07:52:42,  2017-09-22 07:52:49,  7,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_213.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.037552676374.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.75634205784.modelParams|sensorParams|encoders|_classifierInput|n_240.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0770520402085,  2500,  10,  None,  213,  13,  None,  3,  0.037552676374,  2.75634205784,  240,  NontemporalMultiStep,  0.0770520402085,  80.3412329934,  24.8093878325, 
1042,  3150,  completed,  killed,  2017-09-22 07:52:49,  2017-09-22 07:52:49,  0,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_209.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.0410559112271.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.97112153368.modelParams|sensorParams|encoders|_classifierInput|n_254.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0701487848536,  50,  10,  None,  209,  13,  None,  4,  0.0410559112271,  2.97112153368,  254,  NontemporalMultiStep,  0.0701487848536,  63.0861564082,  11.2917214494, 
